user_key,cluster_id,dominant_share_known,imputed_country_key,imputed_country_iso,imputed_country_name,imputed_market_currency_code,imputation_method
8,1,0.1545,197,RU,Rusia,USD,cluster_majority
9,1,0.1545,197,RU,Rusia,USD,cluster_majority
11,1,0.1545,197,RU,Rusia,USD,cluster_majority
13,1,0.1545,197,RU,Rusia,USD,cluster_majority
16,1,0.1545,197,RU,Rusia,USD,cluster_majority
19,1,0.1545,197,RU,Rusia,USD,cluster_majority
21,1,0.1545,197,RU,Rusia,USD,cluster_majority
26,1,0.1545,197,RU,Rusia,USD,cluster_majority
36,1,0.1545,197,RU,Rusia,USD,cluster_majority
39,1,0.1545,197,RU,Rusia,USD,cluster_majority
49,0,0.0204,29,BR,Brasil,USD,cluster_majority
51,1,0.1545,197,RU,Rusia,USD,cluster_majority
56,1,0.1545,197,RU,Rusia,USD,cluster_majority
57,0,0.0204,29,BR,Brasil,USD,cluster_majority
58,1,0.1545,197,RU,Rusia,USD,cluster_majority
59,1,0.1545,197,RU,Rusia,USD,cluster_majority
61,1,0.1545,197,RU,Rusia,USD,cluster_majority
64,1,0.1545,197,RU,Rusia,USD,cluster_majority
67,1,0.1545,197,RU,Rusia,USD,cluster_majority
69,1,0.1545,197,RU,Rusia,USD,cluster_majority
71,1,0.1545,197,RU,Rusia,USD,cluster_majority
72,1,0.1545,197,RU,Rusia,USD,cluster_majority
74,1,0.1545,197,RU,Rusia,USD,cluster_majority
78,0,0.0204,29,BR,Brasil,USD,cluster_majority
86,1,0.1545,197,RU,Rusia,USD,cluster_majority
92,1,0.1545,197,RU,Rusia,USD,cluster_majority
94,1,0.1545,197,RU,Rusia,USD,cluster_majority
102,1,0.1545,197,RU,Rusia,USD,cluster_majority
111,1,0.1545,197,RU,Rusia,USD,cluster_majority
115,1,0.1545,197,RU,Rusia,USD,cluster_majority
119,1,0.1545,197,RU,Rusia,USD,cluster_majority
122,1,0.1545,197,RU,Rusia,USD,cluster_majority
123,1,0.1545,197,RU,Rusia,USD,cluster_majority
126,1,0.1545,197,RU,Rusia,USD,cluster_majority
133,1,0.1545,197,RU,Rusia,USD,cluster_majority
144,1,0.1545,197,RU,Rusia,USD,cluster_majority
145,1,0.1545,197,RU,Rusia,USD,cluster_majority
152,0,0.0204,29,BR,Brasil,USD,cluster_majority
159,1,0.1545,197,RU,Rusia,USD,cluster_majority
160,1,0.1545,197,RU,Rusia,USD,cluster_majority
162,1,0.1545,197,RU,Rusia,USD,cluster_majority
167,1,0.1545,197,RU,Rusia,USD,cluster_majority
169,1,0.1545,197,RU,Rusia,USD,cluster_majority
170,1,0.1545,197,RU,Rusia,USD,cluster_majority
173,1,0.1545,197,RU,Rusia,USD,cluster_majority
182,1,0.1545,197,RU,Rusia,USD,cluster_majority
186,1,0.1545,197,RU,Rusia,USD,cluster_majority
191,1,0.1545,197,RU,Rusia,USD,cluster_majority
195,1,0.1545,197,RU,Rusia,USD,cluster_majority
205,1,0.1545,197,RU,Rusia,USD,cluster_majority
206,1,0.1545,197,RU,Rusia,USD,cluster_majority
207,0,0.0204,29,BR,Brasil,USD,cluster_majority
208,1,0.1545,197,RU,Rusia,USD,cluster_majority
214,0,0.0204,29,BR,Brasil,USD,cluster_majority
215,1,0.1545,197,RU,Rusia,USD,cluster_majority
216,0,0.0204,29,BR,Brasil,USD,cluster_majority
218,1,0.1545,197,RU,Rusia,USD,cluster_majority
220,1,0.1545,197,RU,Rusia,USD,cluster_majority
222,1,0.1545,197,RU,Rusia,USD,cluster_majority
225,1,0.1545,197,RU,Rusia,USD,cluster_majority
239,1,0.1545,197,RU,Rusia,USD,cluster_majority
240,1,0.1545,197,RU,Rusia,USD,cluster_majority
252,1,0.1545,197,RU,Rusia,USD,cluster_majority
253,1,0.1545,197,RU,Rusia,USD,cluster_majority
255,1,0.1545,197,RU,Rusia,USD,cluster_majority
256,1,0.1545,197,RU,Rusia,USD,cluster_majority
257,0,0.0204,29,BR,Brasil,USD,cluster_majority
258,1,0.1545,197,RU,Rusia,USD,cluster_majority
263,1,0.1545,197,RU,Rusia,USD,cluster_majority
267,1,0.1545,197,RU,Rusia,USD,cluster_majority
274,1,0.1545,197,RU,Rusia,USD,cluster_majority
276,0,0.0204,29,BR,Brasil,USD,cluster_majority
282,1,0.1545,197,RU,Rusia,USD,cluster_majority
284,1,0.1545,197,RU,Rusia,USD,cluster_majority
286,1,0.1545,197,RU,Rusia,USD,cluster_majority
293,1,0.1545,197,RU,Rusia,USD,cluster_majority
297,1,0.1545,197,RU,Rusia,USD,cluster_majority
299,1,0.1545,197,RU,Rusia,USD,cluster_majority
300,1,0.1545,197,RU,Rusia,USD,cluster_majority
303,1,0.1545,197,RU,Rusia,USD,cluster_majority
311,1,0.1545,197,RU,Rusia,USD,cluster_majority
315,1,0.1545,197,RU,Rusia,USD,cluster_majority
317,1,0.1545,197,RU,Rusia,USD,cluster_majority
