user_key,steamid_hash,visibility_state,profile_state,persona_state,country_key,account_created_date,account_created_year,account_age_band,last_logoff_date,last_logoff_time_bucket_key,created_at,updated_at,etl_run_id,valid_from,valid_to,is_current,is_active,country_iso,country_name,market_currency_key,market_currency_code,market_currency_name
1,3fbe2a6fdbb0d5ac7ebbcec0c34191b44d2b597d4e880a24ca2e8c0c3990f041,3,1.0,0,188.0,2010-02-19,2010,10+ años,,,2026-03-14 22:13:28.093333,2026-03-14 22:13:28.093333,16,2026-03-14 22:13:28.093333,,True,True,PT,Portugal,,,
2,745adaa95a898c0ce29aae97f41509411634ce337c81f90b9b0368bfd687e721,3,1.0,0,69.0,2003-10-24,2003,10+ años,,,2026-03-14 22:13:28.126666,2026-03-14 22:13:28.126666,16,2026-03-14 22:13:28.126666,,True,True,US,Estados Unidos,1.0,USD,Dólar estadounidense
3,a10c603dc3cb0c17d157f922068fb5180f1b0496ef096161dd53b80b469e615f,3,1.0,1,69.0,2010-01-12,2010,10+ años,,,2026-03-14 22:13:28.130000,2026-03-14 22:13:28.130000,16,2026-03-14 22:13:28.130000,,True,True,US,Estados Unidos,1.0,USD,Dólar estadounidense
4,4aded724eab5c9f6db7ab55b7b1420ea1fd692ae2fe82ae0340ec607224e9317,3,1.0,3,29.0,2009-11-27,2009,10+ años,,,2026-03-14 22:13:28.133333,2026-03-14 22:13:28.133333,16,2026-03-14 22:13:28.133333,,True,True,BR,Brasil,,,
5,bcc1a374a6c647f7de380d0f7c90d849601849814cc8e8e87af9c0908148e161,3,1.0,0,240.0,2013-12-20,2013,10+ años,,,2026-03-14 22:13:28.140000,2026-03-14 22:13:28.140000,16,2026-03-14 22:13:28.140000,,True,True,UA,Ucrania,,,
6,369137381dadda8410c7bc3cf869157e0c050e15c3fb11e86c53cc716a701ed2,3,1.0,0,190.0,2011-03-27,2011,10+ años,,,2026-03-14 22:13:28.146666,2026-03-14 22:13:28.146666,16,2026-03-14 22:13:28.146666,,True,True,GB,Reino Unido,,,
7,11d527ffc4be4078cd5c02e3ec61227eae6f743d890893d1bae080b1c894a2fb,3,1.0,0,69.0,2009-03-26,2009,10+ años,,,2026-03-14 22:13:28.150000,2026-03-14 22:13:28.150000,16,2026-03-14 22:13:28.150000,,True,True,US,Estados Unidos,1.0,USD,Dólar estadounidense
8,c4cbcc78d838a9fc65e4c3f720140a12be3790e9312d8a8951ddc1846ec08490,3,1.0,0,,2004-07-27,2004,10+ años,,,2026-03-14 22:13:28.156666,2026-03-14 22:13:28.156666,16,2026-03-14 22:13:28.156666,,True,True,,,,,
9,ae316e7044e55dfa5fdfe29b18e1aeaf41a07edb8d73744572b6e3ca05f9c58b,3,1.0,0,,2010-05-06,2010,10+ años,,,2026-03-14 22:13:28.160000,2026-03-14 22:13:28.160000,16,2026-03-14 22:13:28.160000,,True,True,,,,,
10,80c03e22a19f27f7b551fda15d734717080f2b7da13aa74e67afdd3f5ec4fbeb,3,1.0,0,39.0,2013-08-25,2013,10+ años,,,2026-03-14 22:13:28.166666,2026-03-14 22:13:28.166666,16,2026-03-14 22:13:28.166666,,True,True,CA,Canadá,,,
11,d9b4930a10062548bb324d3dd1572dbf941c73bba893b0cbcfe6a0c8da97c6c5,3,1.0,0,,2007-12-06,2007,10+ años,,,2026-03-14 22:13:28.170000,2026-03-14 22:13:28.170000,16,2026-03-14 22:13:28.170000,,True,True,,,,,
12,7e7fbb32d68d37b0c53c100e4258e924edccf7decde57c72df99e79cab656174,3,1.0,0,29.0,2011-06-25,2011,10+ años,,,2026-03-14 22:13:28.173333,2026-03-14 22:13:28.173333,16,2026-03-14 22:13:28.173333,,True,True,BR,Brasil,,,
13,49159c86984bdfa39a9e7c9979962a1b78840fbbef9982ed23f319c4b2600f1b,3,1.0,0,,2013-05-27,2013,10+ años,,,2026-03-14 22:13:28.176666,2026-03-14 22:13:28.176666,16,2026-03-14 22:13:28.176666,,True,True,,,,,
14,10a05567a1d8298e5c2cc5beb22915b5cb48690cc3bf2e5053f913b846f194c4,3,1.0,1,29.0,2016-12-11,2016,5-10 años,,,2026-03-14 22:13:28.183333,2026-03-14 22:13:28.183333,16,2026-03-14 22:13:28.183333,,True,True,BR,Brasil,,,
15,9da9a5402a19df1379b4fbcc613865972e422702ab683fa77d4241614b77dbaf,3,1.0,1,237.0,2010-11-04,2010,10+ años,,,2026-03-14 22:13:28.186666,2026-03-14 22:13:28.186666,16,2026-03-14 22:13:28.186666,,True,True,TR,Turquía,,,
16,5d69c933179db9d9eb7f6f9fc417f6244f590cc5a310fcd4a292dcb88750f5d3,3,1.0,0,,2005-07-27,2005,10+ años,,,2026-03-14 22:13:28.190000,2026-03-14 22:13:28.190000,16,2026-03-14 22:13:28.190000,,True,True,,,,,
17,7e75835002e3313523c5fcfcde6aa446232c8db4f4235bccf8f78c65afa440db,3,1.0,3,16.0,2013-05-07,2013,10+ años,,,2026-03-14 22:13:28.193333,2026-03-14 22:13:28.193333,16,2026-03-14 22:13:28.193333,,True,True,AT,Austria,,,
18,e3988780b1400a71b4d801b54cb6ff0bf33de3f035cccf03c373d71344772d60,3,1.0,0,187.0,2008-12-08,2008,10+ años,,,2026-03-14 22:13:28.200000,2026-03-14 22:13:28.200000,16,2026-03-14 22:13:28.200000,,True,True,PL,Polonia,,,
19,45b2bf03e836d644335eeed102b15a532ca857efbad48b1e9361f2a88483868c,3,1.0,0,,2013-01-25,2013,10+ años,,,2026-03-14 22:13:28.200000,2026-03-14 22:13:28.200000,16,2026-03-14 22:13:28.200000,,True,True,,,,,
20,ffa05cd288a111ab9ed82007894e0b20b070f15b393ed29e7876741ab2a19b76,3,1.0,0,223.0,2013-06-09,2013,10+ años,,,2026-03-14 22:13:28.206666,2026-03-14 22:13:28.206666,16,2026-03-14 22:13:28.206666,,True,True,SE,Suecia,,,
21,0c11050dc0fe6570493decb3d78d91ab0131a13ee316972e1ff31d2b8de9dce0,3,1.0,1,,2010-12-19,2010,10+ años,,,2026-03-14 22:13:28.210000,2026-03-14 22:13:28.210000,16,2026-03-14 22:13:28.210000,,True,True,,,,,
22,ec6206bbe6b945ee09b3cfe61ef76d14f8a08acb2bef7b2b2a3f4d1473d98ff7,3,1.0,3,12.0,2010-05-20,2010,10+ años,,,2026-03-14 22:13:28.213333,2026-03-14 22:13:28.213333,16,2026-03-14 22:13:28.213333,,True,True,AR,Argentina,,,
23,999ec1e7dec6d452be2adef5dd09c2523a5b467e72b30ea631fdf1890499ddc6,3,1.0,0,190.0,2010-02-24,2010,10+ años,,,2026-03-14 22:13:28.220000,2026-03-14 22:13:28.220000,16,2026-03-14 22:13:28.220000,,True,True,GB,Reino Unido,,,
24,4a85bfe88a66a53f8c58f6185a6f893c323c834fb6848fd961d927dfe6283501,3,1.0,0,25.0,2013-12-27,2013,10+ años,,,2026-03-14 22:13:28.220000,2026-03-14 22:13:28.220000,16,2026-03-14 22:13:28.220000,,True,True,BY,Bielorrusia,,,
25,37783db0ad572f1afaf91a0420a39146b36bf492d30d76dd1a9030871fa06dd5,3,1.0,0,187.0,2009-08-19,2009,10+ años,,,2026-03-14 22:13:28.226666,2026-03-14 22:13:28.226666,16,2026-03-14 22:13:28.226666,,True,True,PL,Polonia,,,
26,25a63c8740edaed4cf144ea1f0cd61f50c28d5ad33a044a01626491f841803ab,3,1.0,0,,2015-05-31,2015,10+ años,,,2026-03-14 22:13:28.230000,2026-03-14 22:13:28.230000,16,2026-03-14 22:13:28.230000,,True,True,,,,,
27,6b9fa16f500608caae2ab0c69495effd60605e2f9f0c4b190b01a38fd6bb9805,3,1.0,0,69.0,2005-11-08,2005,10+ años,,,2026-03-14 22:13:28.233333,2026-03-14 22:13:28.233333,16,2026-03-14 22:13:28.233333,,True,True,US,Estados Unidos,1.0,USD,Dólar estadounidense
28,7f1683005cad1eb7a4a8bb5fa8d0250a1ea82ee7ce3db42fcb9ba23f5973ae6c,3,1.0,0,75.0,2009-07-29,2009,10+ años,,,2026-03-14 22:13:28.236666,2026-03-14 22:13:28.236666,16,2026-03-14 22:13:28.236666,,True,True,FR,Francia,,,
29,8583048e546f2b3ae971f920a9ed157ad7d41d43da4ea1de1f08e702dc794f42,3,1.0,0,175.0,2011-01-08,2011,10+ años,,,2026-03-14 22:13:28.240000,2026-03-14 22:13:28.240000,16,2026-03-14 22:13:28.240000,,True,True,NZ,Nueva Zelanda,,,
30,a0a9c19f9ceef405e712561a1c784e0e35303ceb316c3d5643114944ada5ecf0,3,1.0,0,29.0,2013-12-23,2013,10+ años,,,2026-03-14 22:13:28.243333,2026-03-14 22:13:28.243333,16,2026-03-14 22:13:28.243333,,True,True,BR,Brasil,,,
31,bacaa1f50eb5d8a2512d9c4ec429417b0531c0c281ef409098915ef3e9fd8372,3,1.0,0,31.0,2013-01-08,2013,10+ años,,,2026-03-14 22:13:28.246666,2026-03-14 22:13:28.246666,16,2026-03-14 22:13:28.246666,,True,True,BG,Bulgaria,,,
32,38309d8396818b3e577f0b7fbfbfebd60b853c561e2f1c4cb61ee11d7b8fa07b,3,1.0,0,4.0,2011-11-09,2011,10+ años,,,2026-03-14 22:13:28.250000,2026-03-14 22:13:28.250000,16,2026-03-14 22:13:28.250000,,True,True,DE,Alemania,,,
33,8bbefaae3283ee41f48744e3dc54368d1e8aff7df7f69efda771d0d987556f88,3,1.0,0,69.0,2003-11-18,2003,10+ años,,,2026-03-14 22:13:28.253333,2026-03-14 22:13:28.253333,16,2026-03-14 22:13:28.253333,,True,True,US,Estados Unidos,1.0,USD,Dólar estadounidense
34,fc59a18ed2d8e9fe9112eca82805d6849bf0943d15d84c785c16e574f94d0d62,3,1.0,0,69.0,2008-02-10,2008,10+ años,,,2026-03-14 22:13:28.260000,2026-03-14 22:13:28.260000,16,2026-03-14 22:13:28.260000,,True,True,US,Estados Unidos,1.0,USD,Dólar estadounidense
35,9fea98f7121361beddba483c984d5fc584a8d8d7e51ef004f7e8651dabe996cd,3,1.0,1,31.0,2012-03-11,2012,10+ años,,,2026-03-14 22:13:28.260000,2026-03-14 22:13:28.260000,16,2026-03-14 22:13:28.260000,,True,True,BG,Bulgaria,,,
36,f313f4a06068612f09dd1a297ce3ac507fb96879ac056f48f754c481f2d120ab,3,1.0,0,,2011-11-14,2011,10+ años,,,2026-03-14 22:13:28.266666,2026-03-14 22:13:28.266666,16,2026-03-14 22:13:28.266666,,True,True,,,,,
37,bf0d2dac0e8da3abbe0ce3f1ddd252405f20c2485585d1e3ce0d4fff32e5f503,3,1.0,0,53.0,2010-10-08,2010,10+ años,,,2026-03-14 22:13:28.270000,2026-03-14 22:13:28.270000,16,2026-03-14 22:13:28.270000,,True,True,KR,Corea del Sur,,,
38,43435cf40333fe9ad8e4e6afc192f7157bcf00f335f7466e70a845bd66a45f7a,3,1.0,0,96.0,2012-11-24,2012,10+ años,,,2026-03-14 22:13:28.273333,2026-03-14 22:13:28.273333,16,2026-03-14 22:13:28.273333,,True,True,HU,Hungría,,,
39,2bd55481a9d04016d63fa2d8de07e90ad6e5091a6b28129806fc92e380825f09,3,1.0,0,,2008-11-25,2008,10+ años,,,2026-03-14 22:13:28.276666,2026-03-14 22:13:28.276666,16,2026-03-14 22:13:28.276666,,True,True,,,,,
40,c7ddd807b11c82b3abd29210612b269fed2b0027a9e6c7726c367798899d4a1f,3,1.0,3,109.0,2013-07-02,2013,10+ años,,,2026-03-14 22:13:28.280000,2026-03-14 22:13:28.280000,16,2026-03-14 22:13:28.280000,,True,True,CK,Islas Cook,,,
41,adbafc79428a709668d9e9298d6cf745e363db8582fab2dd5e577edca417d004,3,1.0,0,131.0,2004-05-04,2004,10+ años,,,2026-03-14 22:13:28.283333,2026-03-14 22:13:28.283333,16,2026-03-14 22:13:28.283333,,True,True,KE,Kenia,,,
42,359057f3fa1f674586b05d3d3475893100e9ebe75684785b42907d09fa9f1791,3,1.0,3,15.0,2008-05-02,2008,10+ años,,,2026-03-14 22:13:28.290000,2026-03-14 22:13:28.290000,16,2026-03-14 22:13:28.290000,,True,True,AU,Australia,,,
43,0e8b7a63ddb22362bfc0dfbc25787c69402938803ca90bfa18ed1af533ca220e,3,1.0,1,69.0,2010-02-06,2010,10+ años,,,2026-03-14 22:13:28.293333,2026-03-14 22:13:28.293333,16,2026-03-14 22:13:28.293333,,True,True,US,Estados Unidos,1.0,USD,Dólar estadounidense
44,10aa92f70ba6a9de8c279bfb8cd465a985e86ce43eb573ec9395c85a13528447,3,1.0,0,154.0,2014-01-25,2014,10+ años,,,2026-03-14 22:13:28.296666,2026-03-14 22:13:28.296666,16,2026-03-14 22:13:28.296666,,True,True,MQ,Martinica,,,
45,0183bd29cf3f62efdf7933116049a8f5e6d63ef80ca75d39021a6f61ec923aef,3,1.0,0,25.0,2013-11-21,2013,10+ años,,,2026-03-14 22:13:28.300000,2026-03-14 22:13:28.300000,16,2026-03-14 22:13:28.300000,,True,True,BY,Bielorrusia,,,
46,83fc3454d8dc9a86d166f19fe439138437c29841f3406f10baf4f6a23a6c11a4,3,1.0,0,237.0,2011-06-08,2011,10+ años,,,2026-03-14 22:13:28.303333,2026-03-14 22:13:28.303333,16,2026-03-14 22:13:28.303333,,True,True,TR,Turquía,,,
47,bdbf0338f7ec05babd2934825310da0d4568850adf3619210a30cfd0f9120f20,3,1.0,0,69.0,2012-06-22,2012,10+ años,,,2026-03-14 22:13:28.306666,2026-03-14 22:13:28.306666,16,2026-03-14 22:13:28.306666,,True,True,US,Estados Unidos,1.0,USD,Dólar estadounidense
48,5ac7e0b94db2faa51f12bd157023757b3442c5d15c26cd6116c09dc65a90e131,3,1.0,3,39.0,2008-06-28,2008,10+ años,,,2026-03-14 22:13:28.310000,2026-03-14 22:13:28.310000,16,2026-03-14 22:13:28.310000,,True,True,CA,Canadá,,,
